City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
souillac,-20.52,57.52,69.8,64,75,17.22,MU,1596434116
saint-joseph,-21.37,55.62,69.8,64,90,18.34,RE,1596434116
busselton,-33.65,115.33,57.99,64,20,9.69,AU,1596434014
luksuhin,14.1,120.88,93.99,58,96,9.17,PH,1596434116
batagay,67.63,134.63,69.3,38,99,7.63,RU,1596434116
ketchikan,55.34,-131.65,57.2,100,90,6.93,US,1596434030
yellowknife,62.46,-114.35,75.0,82,40,5.82,CA,1596434116
bluff,-46.6,168.33,49.84,83,100,2.24,NZ,1596434116
belmonte,-15.86,-38.88,64.4,82,75,8.05,BR,1596434117
lebu,-37.62,-73.65,50.11,95,100,9.98,CL,1596434117
hithadhoo,-0.6,73.08,83.61,75,100,12.53,MV,1596434117
vaini,-21.2,-175.2,75.2,88,20,9.17,TO,1596434117
cidreira,-30.18,-50.21,60.94,84,9,2.86,BR,1596434117
jamestown,42.1,-79.24,64.99,100,90,9.17,US,1596434117
rawson,-43.3,-65.1,50.0,63,86,22.41,AR,1596434117
norman wells,35.22,-97.44,72.0,73,1,9.17,US,1596434117
loukhi,66.08,33.04,59.02,63,50,3.53,RU,1596434117
saldanha,-33.01,17.94,50.0,93,10,2.24,ZA,1596434117
dayong,25.02,118.29,91.4,63,20,8.95,CN,1596434117
punta arenas,8.99,125.34,79.5,82,100,2.82,PH,1596434117
amazar,53.86,120.88,61.25,91,100,6.24,RU,1596434118
palmer,42.16,-72.33,78.01,94,75,6.93,US,1596434118
sioux lookout,42.73,-96.23,61.0,93,40,5.19,US,1596434118
port alfred,-7.03,29.76,73.2,51,81,16.51,CD,1596434118
bathsheba,13.22,-59.52,82.4,78,40,11.41,BB,1596434118
chicama,-7.84,-79.15,59.92,86,50,3.85,PE,1596434118
hobart,-42.88,147.33,50.0,43,40,17.22,AU,1596433850
bethel,41.37,-73.41,78.8,83,1,8.05,US,1596434118
geraldton,-28.77,114.6,60.8,72,75,10.29,AU,1596434118
constitucion,-35.33,-72.42,52.36,89,39,3.06,CL,1596434118
acajutla,13.59,-89.83,75.99,93,100,1.99,SV,1596434118
grand river south east,38.88,-109.5,82.4,13,1,2.24,US,1596434119
lavrentiya,65.58,-171.0,47.01,67,95,11.72,RU,1596434119
katherine,-14.47,132.27,89.6,25,71,4.7,AU,1596434119
tottori,35.5,134.23,91.4,59,75,4.7,JP,1596434119
georgetown,5.41,100.34,91.4,70,20,11.41,MY,1596434096
arraial do cabo,-22.84,-46.65,59.0,82,23,13.87,BR,1596434119
klaksvik,62.23,-6.59,48.2,100,100,9.17,FO,1596434119
atikokan,48.76,-91.62,50.18,77,40,1.7,CA,1596434119
seoul,37.57,126.98,78.8,88,75,11.01,KR,1596434048
qaanaaq,77.48,-69.36,35.17,87,100,6.93,GL,1596434119
albany,42.6,-73.97,77.0,89,4,3.58,US,1596433946
mataura,-46.19,168.86,48.72,92,99,0.94,NZ,1596434120
cape town,-36.41,-71.9,50.0,100,90,3.36,CL,1596434120
murray bridge,40.67,-111.89,80.01,25,1,4.14,US,1596433980
nanortalik,60.14,-45.24,45.91,93,84,7.65,GL,1596434120
clyde river,41.3,-82.98,66.0,95,2,3.0,US,1596434120
grindavik,63.84,-22.43,46.4,93,75,6.93,IS,1596434120
puerto ayora,36.59,-6.23,71.6,56,6,5.82,ES,1596434120
ancud,-41.87,-73.82,51.01,87,75,12.75,CL,1596434120
naze,28.37,129.48,89.6,70,20,10.29,JP,1596434120
ushuaia,-54.8,-68.3,41.0,56,75,20.8,AR,1596434120
margate,51.38,1.39,64.0,79,99,3.0,GB,1596434120
paldiski,59.36,24.05,62.01,87,90,5.82,EE,1596434120
dunmore town,41.42,-75.63,78.8,50,20,10.29,US,1596434121
